UTC,Ask,Bid,Ask Volume,Bid Volume
27.10.2025 11:00:00.099 UTC,1.39798,1.39787,0.00225,0.0018
27.10.2025 11:00:00.456 UTC,1.39798,1.39787,0.00225,0.00135
27.10.2025 11:00:00.559 UTC,1.39796,1.39786,0.0012,0.00135
27.10.2025 11:00:00.764 UTC,1.39797,1.39784,0.0036,0.0012
27.10.2025 11:00:01.073 UTC,1.39796,1.39786,0.0012,0.0012
27.10.2025 11:00:01.276 UTC,1.39796,1.39785,0.0012,0.00225
27.10.2025 11:00:03.998 UTC,1.39797,1.39784,0.00225,0.0018
27.10.2025 11:00:05.165 UTC,1.39798,1.39785,0.00327,0.0024
27.10.2025 11:00:05.268 UTC,1.39797,1.39785,0.00192,0.0024
27.10.2025 11:00:05.722 UTC,1.39796,1.39786,0.00192,0.0012
27.10.2025 11:00:05.774 UTC,1.39799,1.39788,0.00274,0.0012
27.10.2025 11:00:05.895 UTC,1.39801,1.39788,0.00192,0.00135
27.10.2025 11:00:05.947 UTC,1.39801,1.39788,0.00144,0.00135
27.10.2025 11:00:06.102 UTC,1.39801,1.39789,0.00135,0.0012
27.10.2025 11:00:06.205 UTC,1.39802,1.39789,0.00144,0.0012
27.10.2025 11:00:06.664 UTC,1.39802,1.39788,0.00234,0.0018
27.10.2025 11:00:06.766 UTC,1.39802,1.39788,0.00249,0.0018
27.10.2025 11:00:06.918 UTC,1.39801,1.3979,0.00249,0.0012
27.10.2025 11:00:07.021 UTC,1.39802,1.39789,0.00234,0.0012
27.10.2025 11:00:07.124 UTC,1.39801,1.39789,0.00234,0.0018
27.10.2025 11:00:07.983 UTC,1.39801,1.39788,0.0012,0.00225
27.10.2025 11:00:08.136 UTC,1.39802,1.39788,0.00324,0.0018
27.10.2025 11:00:08.238 UTC,1.39801,1.39788,0.00135,0.0018
27.10.2025 11:00:10.408 UTC,1.398,1.39787,0.00225,0.00135
27.10.2025 11:00:10.460 UTC,1.39799,1.3979,0.00135,0.0012
27.10.2025 11:00:10.562 UTC,1.398,1.39788,0.0012,0.0012
27.10.2025 11:00:10.666 UTC,1.39801,1.39788,0.00324,0.0012
27.10.2025 11:00:14.592 UTC,1.39801,1.39787,0.00279,0.00225
27.10.2025 11:00:15.045 UTC,1.39801,1.39787,0.00279,0.00147
27.10.2025 11:00:25.824 UTC,1.39801,1.39788,0.00234,0.0033
27.10.2025 11:00:25.926 UTC,1.39801,1.39788,0.00234,0.00225
27.10.2025 11:00:26.081 UTC,1.398,1.39787,0.00135,0.00135
27.10.2025 11:00:26.364 UTC,1.39799,1.39788,0.00135,0.0018
27.10.2025 11:00:26.516 UTC,1.398,1.39787,0.00135,0.00135
27.10.2025 11:00:26.770 UTC,1.398,1.39786,0.00135,0.0033
27.10.2025 11:00:27.075 UTC,1.398,1.39787,0.00135,0.00135
27.10.2025 11:00:27.177 UTC,1.398,1.39787,0.00135,0.0018
27.10.2025 11:00:27.479 UTC,1.398,1.39787,0.00135,0.00135
27.10.2025 11:00:27.581 UTC,1.398,1.39787,0.00135,0.0018
27.10.2025 11:00:29.093 UTC,1.39802,1.39789,0.00522,0.00135
27.10.2025 11:00:29.195 UTC,1.39801,1.3979,0.00417,0.00135
27.10.2025 11:00:29.751 UTC,1.39801,1.39789,0.00282,0.00135
27.10.2025 11:00:29.855 UTC,1.39798,1.39788,0.00279,0.00135
27.10.2025 11:00:29.958 UTC,1.39798,1.39787,0.00324,0.00225
27.10.2025 11:00:30.061 UTC,1.398,1.39786,0.00519,0.0024
27.10.2025 11:00:44.082 UTC,1.39798,1.39786,0.0012,0.0018
27.10.2025 11:00:44.183 UTC,1.39798,1.39786,0.0018,0.0012
27.10.2025 11:00:53.452 UTC,1.39798,1.39785,0.0018,0.00135
27.10.2025 11:00:57.278 UTC,1.39798,1.39786,0.0018,0.0012
27.10.2025 11:01:00.257 UTC,1.39798,1.39785,0.0018,0.00225
27.10.2025 11:01:01.714 UTC,1.39797,1.39787,0.00225,0.0012
27.10.2025 11:01:02.422 UTC,1.39797,1.39786,0.00225,0.00225
27.10.2025 11:01:02.825 UTC,1.39798,1.39786,0.00225,0.0012
27.10.2025 11:01:07.855 UTC,1.39797,1.39785,0.0012,0.00225
27.10.2025 11:01:09.383 UTC,1.39797,1.39785,0.0012,0.0018
27.10.2025 11:01:09.738 UTC,1.39797,1.39784,0.0012,0.0042
27.10.2025 11:01:11.000 UTC,1.39796,1.39785,0.0012,0.0042
27.10.2025 11:01:13.612 UTC,1.39796,1.39785,0.0012,0.0033
27.10.2025 11:01:13.966 UTC,1.39797,1.39785,0.0012,0.0018
27.10.2025 11:01:17.682 UTC,1.39797,1.39784,0.0012,0.0033
27.10.2025 11:01:17.985 UTC,1.39797,1.39784,0.0012,0.00375
27.10.2025 11:01:24.136 UTC,1.39797,1.39785,0.0012,0.00135
27.10.2025 11:01:26.494 UTC,1.39797,1.39784,0.0012,0.0042
27.10.2025 11:01:28.112 UTC,1.39797,1.39785,0.0012,0.00225
27.10.2025 11:01:29.067 UTC,1.39796,1.39786,0.0012,0.0024
27.10.2025 11:01:29.571 UTC,1.39797,1.39785,0.0012,0.00135
27.10.2025 11:01:32.264 UTC,1.39797,1.39787,0.00135,0.00135
27.10.2025 11:01:32.521 UTC,1.398,1.39787,0.00339,0.00135
27.10.2025 11:01:32.625 UTC,1.398,1.39788,0.00324,0.0012
27.10.2025 11:01:32.778 UTC,1.398,1.39787,0.00324,0.00135
27.10.2025 11:01:33.180 UTC,1.398,1.39788,0.00324,0.0012
27.10.2025 11:01:33.282 UTC,1.39799,1.39788,0.00324,0.00135
27.10.2025 11:01:33.738 UTC,1.398,1.39787,0.00414,0.0018
27.10.2025 11:01:34.189 UTC,1.39799,1.39788,0.00414,0.00135
27.10.2025 11:01:34.642 UTC,1.398,1.39787,0.00414,0.0018
27.10.2025 11:01:35.348 UTC,1.39799,1.39788,0.00414,0.00135
27.10.2025 11:01:41.277 UTC,1.39798,1.39788,0.00324,0.0012
27.10.2025 11:01:41.379 UTC,1.39799,1.39786,0.00414,0.0018
27.10.2025 11:01:45.673 UTC,1.39799,1.39786,0.00414,0.00135
27.10.2025 11:01:46.077 UTC,1.398,1.39787,0.00519,0.00135
27.10.2025 11:01:49.559 UTC,1.39799,1.39787,0.00135,0.0018
27.10.2025 11:01:50.062 UTC,1.39799,1.39787,0.00135,0.00135
27.10.2025 11:01:56.803 UTC,1.398,1.39786,0.00429,0.00135
27.10.2025 11:02:01.383 UTC,1.39798,1.39785,0.0012,0.0033
27.10.2025 11:02:01.737 UTC,1.39798,1.39785,0.0012,0.00225
27.10.2025 11:02:02.792 UTC,1.39798,1.39786,0.0012,0.0012
27.10.2025 11:02:06.482 UTC,1.39799,1.39786,0.00414,0.0012
27.10.2025 11:02:06.687 UTC,1.39799,1.39786,0.00459,0.0018
27.10.2025 11:02:07.041 UTC,1.39798,1.39787,0.00459,0.00135
27.10.2025 11:02:08.501 UTC,1.39797,1.39784,0.00189,0.00225
27.10.2025 11:02:08.604 UTC,1.39797,1.39786,0.0012,0.0012
27.10.2025 11:02:08.709 UTC,1.39799,1.39787,0.0012,0.0012
27.10.2025 11:02:09.627 UTC,1.39799,1.39786,0.0018,0.00135
27.10.2025 11:02:09.830 UTC,1.39799,1.39787,0.0012,0.0012
27.10.2025 11:02:11.099 UTC,1.39798,1.39787,0.0018,0.00135
27.10.2025 11:02:11.203 UTC,1.39799,1.39788,0.00225,0.0012
27.10.2025 11:02:11.355 UTC,1.39799,1.39787,0.0012,0.0012
27.10.2025 11:02:11.458 UTC,1.398,1.39787,0.00504,0.0012
27.10.2025 11:02:11.560 UTC,1.39798,1.39788,0.0012,0.0012
27.10.2025 11:02:11.662 UTC,1.398,1.39787,0.00504,0.0012
27.10.2025 11:02:11.815 UTC,1.39799,1.39787,0.0012,0.0012
27.10.2025 11:02:11.967 UTC,1.398,1.39787,0.00504,0.0012
27.10.2025 11:02:17.782 UTC,1.398,1.39786,0.00504,0.00135
27.10.2025 11:02:21.101 UTC,1.39799,1.39788,0.00189,0.00135
27.10.2025 11:02:21.208 UTC,1.39801,1.39787,0.00324,0.00225
27.10.2025 11:02:21.464 UTC,1.39801,1.39788,0.00279,0.0012
27.10.2025 11:02:21.670 UTC,1.39801,1.3979,0.00414,0.00135
27.10.2025 11:02:21.772 UTC,1.39801,1.39789,0.00189,0.00135
27.10.2025 11:02:21.875 UTC,1.39801,1.39788,0.00189,0.00225
27.10.2025 11:02:22.079 UTC,1.39801,1.39788,0.00189,0.0024
27.10.2025 11:02:22.234 UTC,1.39801,1.39788,0.00369,0.00135
