UTC,Ask,Bid,Ask Volume,Bid Volume
03.11.2025 10:00:00.099 UTC,1.40404,1.4039,0.0024,0.00192
03.11.2025 10:00:00.150 UTC,1.40404,1.4039,0.00225,0.00132
03.11.2025 10:00:00.506 UTC,1.40404,1.40392,0.00225,0.00132
03.11.2025 10:00:02.873 UTC,1.40406,1.40392,0.00135,0.00132
03.11.2025 10:00:03.933 UTC,1.40406,1.40392,0.00285,0.00132
03.11.2025 10:00:04.137 UTC,1.40404,1.4039,0.00135,0.00192
03.11.2025 10:00:06.053 UTC,1.40403,1.40389,0.00135,0.00132
03.11.2025 10:00:06.307 UTC,1.40402,1.4039,0.0024,0.00132
03.11.2025 10:00:06.663 UTC,1.40401,1.40387,0.0012,0.00342
03.11.2025 10:00:06.816 UTC,1.40401,1.40387,0.0012,0.00327
03.11.2025 10:00:07.776 UTC,1.404,1.40387,0.00135,0.00132
03.11.2025 10:00:08.335 UTC,1.40401,1.40386,0.0045,0.00192
03.11.2025 10:00:09.646 UTC,1.404,1.40386,0.0012,0.00192
03.11.2025 10:00:09.949 UTC,1.40401,1.40386,0.00315,0.00192
03.11.2025 10:00:10.602 UTC,1.40401,1.40386,0.0033,0.00237
03.11.2025 10:00:11.708 UTC,1.404,1.40387,0.00315,0.00192
03.11.2025 10:00:11.860 UTC,1.404,1.40387,0.0033,0.00147
03.11.2025 10:00:12.617 UTC,1.40399,1.40387,0.0012,0.00192
03.11.2025 10:00:13.486 UTC,1.40399,1.40387,0.00285,0.00237
03.11.2025 10:00:13.745 UTC,1.404,1.40386,0.00225,0.00282
03.11.2025 10:00:26.560 UTC,1.404,1.40386,0.00285,0.00249
03.11.2025 10:00:28.019 UTC,1.404,1.40386,0.0018,0.00192
03.11.2025 10:00:28.828 UTC,1.40399,1.40387,0.00285,0.00252
03.11.2025 10:00:30.085 UTC,1.40399,1.40387,0.00135,0.00252
03.11.2025 10:00:31.804 UTC,1.40401,1.40387,0.0012,0.00237
03.11.2025 10:00:31.856 UTC,1.40402,1.4039,0.00225,0.0012
