UTC,Open,High,Low,Close,Volume
01.10.2025 13:30:00.000 UTC,285.017,285.017,284.447,284.447,0.6009
01.10.2025 13:31:00.000 UTC,284.446,285.476,284.446,285.476,0.7827
01.10.2025 13:32:00.000 UTC,285.486,285.486,285.486,285.486,0.12
01.10.2025 13:33:00.000 UTC,285.737,286.117,285.197,285.197,0.36
01.10.2025 13:34:00.000 UTC,286.037,286.937,286.037,286.886,0.9609
01.10.2025 13:35:00.000 UTC,286.946,287.436,286.406,286.667,2.0145
01.10.2025 13:36:00.000 UTC,287.287,287.667,286.806,286.806,1.1709
01.10.2025 13:37:00.000 UTC,286.816,287.237,286.306,287.056,1.0845
01.10.2025 13:38:00.000 UTC,287.056,288.227,287.056,287.817,0.7818
01.10.2025 13:39:00.000 UTC,288.156,289.227,288.067,289.227,1.6827
01.10.2025 13:40:00.000 UTC,289.736,290.217,289.736,290.127,2.7345
01.10.2025 13:41:00.000 UTC,290.127,290.296,289.487,289.576,1.4109
01.10.2025 13:42:00.000 UTC,289.587,289.587,289.366,289.426,1.8918
01.10.2025 13:43:00.000 UTC,289.206,289.206,288.727,288.727,0.6909
01.10.2025 13:44:00.000 UTC,288.787,289.087,288.786,288.986,1.0809
01.10.2025 13:46:00.000 UTC,288.056,288.747,288.056,288.216,0.7227
01.10.2025 13:47:00.000 UTC,288.786,288.946,288.786,288.946,0.3609
01.10.2025 13:48:00.000 UTC,288.946,289.656,288.946,289.146,4.26
01.10.2025 13:49:00.000 UTC,289.596,289.787,289.596,289.597,2.0118
01.10.2025 13:50:00.000 UTC,289.766,290.296,289.596,290.296,1.5945
01.10.2025 13:51:00.000 UTC,289.606,290.016,289.606,290.016,1.0818
01.10.2025 13:52:00.000 UTC,290.096,290.187,289.607,289.627,1.5018
01.10.2025 13:53:00.000 UTC,289.626,290.127,289.626,290.127,1.5618
01.10.2025 13:54:00.000 UTC,290.126,290.467,290.126,290.307,1.8936
01.10.2025 13:55:00.000 UTC,290.447,291.516,290.346,291.507,2.6118
01.10.2025 13:56:00.000 UTC,291.506,292.046,291.266,291.477,3.1827
01.10.2025 13:57:00.000 UTC,291.736,292.026,291.216,291.317,0.7227
01.10.2025 13:58:00.000 UTC,291.317,291.746,291.316,291.316,1.17
01.10.2025 13:59:00.000 UTC,291.316,291.666,291.316,291.447,1.1718
01.10.2025 14:00:00.000 UTC,291.767,291.817,291.547,291.817,0.4827
01.10.2025 14:01:00.000 UTC,291.817,291.917,291.486,291.486,0.9609
01.10.2025 14:02:00.000 UTC,291.487,291.487,290.636,290.637,2.07
01.10.2025 14:03:00.000 UTC,291.237,291.846,290.637,291.117,2.0718
01.10.2025 14:04:00.000 UTC,291.117,291.797,291.116,291.397,1.3809
01.10.2025 14:05:00.000 UTC,291.657,292.327,291.397,292.326,0.9627
01.10.2025 14:06:00.000 UTC,292.326,292.707,292.326,292.607,1.9245
01.10.2025 14:07:00.000 UTC,292.607,293.247,292.606,293.246,1.9218
01.10.2025 14:08:00.000 UTC,293.436,293.436,292.846,292.846,1.29
01.10.2025 14:09:00.000 UTC,292.926,293.296,292.327,292.487,2.1609
01.10.2025 14:10:00.000 UTC,292.487,292.487,292.326,292.327,0.84
01.10.2025 14:11:00.000 UTC,292.186,292.287,292.126,292.126,0.96
01.10.2025 14:12:00.000 UTC,292.127,292.837,292.126,292.736,3.2136
01.10.2025 14:13:00.000 UTC,293.097,294.217,292.627,293.616,2.7045
01.10.2025 14:14:00.000 UTC,293.337,293.587,292.786,293.367,1.8027
01.10.2025 14:15:00.000 UTC,293.417,293.927,293.367,293.477,3.1209
01.10.2025 14:16:00.000 UTC,293.817,293.817,293.476,293.547,0.9318
01.10.2025 14:17:00.000 UTC,293.367,293.367,292.816,292.846,1.3209
01.10.2025 14:18:00.000 UTC,293.006,294.817,292.856,294.796,2.8836
01.10.2025 14:19:00.000 UTC,294.256,295.027,294.256,294.857,2.1627
01.10.2025 14:20:00.000 UTC,294.857,295.137,294.496,294.997,1.6218
01.10.2025 14:21:00.000 UTC,294.776,294.806,294.506,294.797,1.8009
01.10.2025 14:22:00.000 UTC,294.796,294.896,294.506,294.836,1.9809
01.10.2025 14:23:00.000 UTC,294.957,295.377,294.946,295.056,2.4009
01.10.2025 14:24:00.000 UTC,295.136,295.227,294.947,295.076,2.46
01.10.2025 14:25:00.000 UTC,295.077,295.077,294.686,294.717,2.19
01.10.2025 14:26:00.000 UTC,294.716,294.807,294.506,294.506,2.3709
01.10.2025 14:27:00.000 UTC,294.797,294.956,294.356,294.457,2.4027
01.10.2025 14:28:00.000 UTC,294.457,294.907,294.456,294.556,2.22
