UTC,Ask,Bid,Ask Volume,Bid Volume
07.10.2025 17:00:00.177 UTC,1.39526,1.39517,0.0012,0.00135
07.10.2025 17:00:00.281 UTC,1.39525,1.39516,0.0012,0.0012
07.10.2025 17:00:00.941 UTC,1.39524,1.39514,0.0012,0.0012
07.10.2025 17:00:01.044 UTC,1.39524,1.39512,0.0012,0.0012
07.10.2025 17:00:01.146 UTC,1.39523,1.39513,0.0012,0.0012
07.10.2025 17:00:02.007 UTC,1.39523,1.3951,0.0012,0.0012
07.10.2025 17:00:02.363 UTC,1.39522,1.3951,0.0012,0.0012
07.10.2025 17:00:02.720 UTC,1.39521,1.39509,0.0012,0.0012
07.10.2025 17:00:04.618 UTC,1.39521,1.39508,0.0012,0.0018
07.10.2025 17:00:04.871 UTC,1.39521,1.39508,0.0012,0.00285
07.10.2025 17:00:05.074 UTC,1.3952,1.39509,0.0012,0.0033
07.10.2025 17:00:06.231 UTC,1.39521,1.39508,0.0012,0.0033
07.10.2025 17:00:06.333 UTC,1.39519,1.39508,0.0012,0.00195
07.10.2025 17:00:06.537 UTC,1.39519,1.39508,0.0012,0.0018
07.10.2025 17:00:06.638 UTC,1.3952,1.39507,0.0012,0.00195
07.10.2025 17:00:06.892 UTC,1.3952,1.39508,0.0012,0.0018
07.10.2025 17:00:07.501 UTC,1.3952,1.3951,0.00132,0.0018
07.10.2025 17:00:08.414 UTC,1.39521,1.39509,0.00132,0.0012
07.10.2025 17:00:09.430 UTC,1.39521,1.39508,0.00132,0.0024
07.10.2025 17:00:09.532 UTC,1.39521,1.39508,0.00132,0.00195
07.10.2025 17:00:10.896 UTC,1.39521,1.39508,0.00132,0.00225
07.10.2025 17:00:11.149 UTC,1.3952,1.39509,0.00132,0.00225
07.10.2025 17:00:11.202 UTC,1.3952,1.39507,0.00192,0.00225
07.10.2025 17:00:11.305 UTC,1.39518,1.39506,0.00132,0.00135
07.10.2025 17:00:11.408 UTC,1.39519,1.39508,0.0012,0.00132
07.10.2025 17:00:11.664 UTC,1.39519,1.39508,0.0012,0.00204
07.10.2025 17:00:12.743 UTC,1.39519,1.39506,0.0012,0.00249
07.10.2025 17:00:13.749 UTC,1.39519,1.39506,0.0012,0.00144
07.10.2025 17:00:14.256 UTC,1.39519,1.39507,0.0012,0.00522
07.10.2025 17:00:14.358 UTC,1.39519,1.39508,0.0012,0.00132
07.10.2025 17:00:14.562 UTC,1.39519,1.39507,0.0012,0.00522
07.10.2025 17:00:15.370 UTC,1.3952,1.39507,0.0012,0.00192
07.10.2025 17:00:15.472 UTC,1.3952,1.39509,0.0012,0.00297
07.10.2025 17:00:19.046 UTC,1.3952,1.3951,0.0012,0.00144
07.10.2025 17:00:21.223 UTC,1.39521,1.39508,0.0012,0.00207
07.10.2025 17:00:21.478 UTC,1.3952,1.39509,0.0012,0.00282
07.10.2025 17:00:22.640 UTC,1.3952,1.3951,0.0012,0.00132
07.10.2025 17:00:22.721 UTC,1.39521,1.39508,0.0012,0.00387
