UTC,Ask,Bid,Ask Volume,Bid Volume
02.09.2025 17:00:00.083 UTC,1.37741,1.37729,0.0012,0.0012
02.09.2025 17:00:00.288 UTC,1.3774,1.37728,0.00225,0.0018
02.09.2025 17:00:00.391 UTC,1.37737,1.37728,0.00315,0.0012
02.09.2025 17:00:00.509 UTC,1.37733,1.37722,0.0018,0.0012
02.09.2025 17:00:00.611 UTC,1.37732,1.37722,0.0012,0.0012
02.09.2025 17:00:03.397 UTC,1.37732,1.3772,0.0012,0.0012
02.09.2025 17:00:03.500 UTC,1.3773,1.37721,0.0012,0.0012
02.09.2025 17:00:03.655 UTC,1.37732,1.37722,0.0012,0.0012
02.09.2025 17:00:05.578 UTC,1.37732,1.3772,0.0012,0.0012
02.09.2025 17:00:12.540 UTC,1.37733,1.37721,0.0012,0.0012
02.09.2025 17:00:13.100 UTC,1.37734,1.37722,0.0012,0.0012
02.09.2025 17:00:13.304 UTC,1.37733,1.37721,0.0012,0.00225
02.09.2025 17:00:16.287 UTC,1.37734,1.37723,0.0012,0.00495
02.09.2025 17:00:16.390 UTC,1.37737,1.37726,0.0012,0.0012
02.09.2025 17:00:16.492 UTC,1.37738,1.37726,0.0012,0.0012
02.09.2025 17:00:17.506 UTC,1.37738,1.37729,0.0012,0.0012
02.09.2025 17:00:20.455 UTC,1.37738,1.37728,0.0012,0.0018
02.09.2025 17:00:23.230 UTC,1.37736,1.37725,0.0012,0.0027
02.09.2025 17:00:23.383 UTC,1.37737,1.37725,0.00225,0.0012
02.09.2025 17:00:27.459 UTC,1.37738,1.37728,0.00225,0.0012
02.09.2025 17:00:33.096 UTC,1.37737,1.37727,0.0012,0.0018
02.09.2025 17:00:33.147 UTC,1.37737,1.37725,0.0018,0.0018
02.09.2025 17:00:33.251 UTC,1.37736,1.37724,0.0012,0.0012
02.09.2025 17:00:37.421 UTC,1.37738,1.37726,0.0012,0.0018
02.09.2025 17:00:37.524 UTC,1.37737,1.37727,0.0012,0.006
02.09.2025 17:00:37.677 UTC,1.37738,1.37726,0.0012,0.00315
02.09.2025 17:00:41.976 UTC,1.37739,1.37728,0.0027,0.0012
02.09.2025 17:00:49.858 UTC,1.37739,1.37727,0.0012,0.0018
02.09.2025 17:00:52.677 UTC,1.3774,1.37727,0.0018,0.0018
02.09.2025 17:00:52.882 UTC,1.37739,1.37727,0.0012,0.0018
02.09.2025 17:00:53.087 UTC,1.37737,1.37728,0.00135,0.0012
02.09.2025 17:00:53.190 UTC,1.37738,1.37726,0.0024,0.0012
02.09.2025 17:00:53.294 UTC,1.37739,1.37727,0.0012,0.0018
02.09.2025 17:00:53.397 UTC,1.37739,1.37728,0.00675,0.0018
02.09.2025 17:00:58.925 UTC,1.3774,1.37728,0.0018,0.00225
02.09.2025 17:00:59.482 UTC,1.3774,1.37727,0.0012,0.00405
02.09.2025 17:01:01.955 UTC,1.37739,1.37727,0.0012,0.00315
02.09.2025 17:01:02.818 UTC,1.37733,1.37726,0.0012,0.0012
02.09.2025 17:01:02.870 UTC,1.37735,1.37723,0.00225,0.0012
02.09.2025 17:01:02.922 UTC,1.37732,1.37721,0.0012,0.0012
02.09.2025 17:01:03.025 UTC,1.37733,1.37721,0.0018,0.0012
02.09.2025 17:01:03.381 UTC,1.37732,1.37721,0.0012,0.0012
02.09.2025 17:01:03.788 UTC,1.37733,1.37721,0.00225,0.0012
02.09.2025 17:01:04.196 UTC,1.37732,1.37722,0.0024,0.0012
02.09.2025 17:01:04.398 UTC,1.3773,1.37722,0.0012,0.0012
02.09.2025 17:01:09.895 UTC,1.37732,1.37719,0.00225,0.00495
02.09.2025 17:01:09.998 UTC,1.37731,1.37719,0.00135,0.0012
02.09.2025 17:01:10.253 UTC,1.37732,1.37719,0.00225,0.00225
02.09.2025 17:01:12.674 UTC,1.37732,1.37719,0.0018,0.0012
02.09.2025 17:01:12.777 UTC,1.37731,1.37718,0.0036,0.0018
