UTC,Ask,Bid,Ask Volume,Bid Volume
02.09.2025 16:00:00.130 UTC,1.37861,1.37848,0.0018,0.0012
02.09.2025 16:00:00.435 UTC,1.37861,1.37848,0.00135,0.0012
02.09.2025 16:00:00.843 UTC,1.37862,1.37852,0.00225,0.0012
02.09.2025 16:00:00.946 UTC,1.37864,1.37851,0.00135,0.0012
02.09.2025 16:00:01.150 UTC,1.37863,1.37852,0.00195,0.0012
02.09.2025 16:00:01.253 UTC,1.37862,1.37849,0.0024,0.0012
02.09.2025 16:00:01.446 UTC,1.37861,1.37848,0.0033,0.0012
02.09.2025 16:00:01.651 UTC,1.37859,1.37846,0.0018,0.0012
02.09.2025 16:00:01.755 UTC,1.37856,1.37844,0.0012,0.0027
02.09.2025 16:00:01.859 UTC,1.37857,1.37846,0.00135,0.0012
02.09.2025 16:00:02.418 UTC,1.37857,1.37845,0.00135,0.0012
02.09.2025 16:00:02.521 UTC,1.37857,1.37844,0.0012,0.0012
02.09.2025 16:00:02.674 UTC,1.37857,1.37843,0.00225,0.0012
02.09.2025 16:00:02.777 UTC,1.37856,1.37843,0.0012,0.0018
02.09.2025 16:00:03.401 UTC,1.37856,1.37843,0.0018,0.0012
02.09.2025 16:00:03.504 UTC,1.37856,1.37843,0.0012,0.0012
02.09.2025 16:00:03.607 UTC,1.37856,1.37842,0.0024,0.0018
02.09.2025 16:00:05.123 UTC,1.37851,1.37842,0.0012,0.0012
02.09.2025 16:00:05.175 UTC,1.37852,1.37839,0.00135,0.0018
02.09.2025 16:00:05.278 UTC,1.3785,1.3784,0.0012,0.0018
02.09.2025 16:00:05.380 UTC,1.37852,1.37839,0.00135,0.0012
02.09.2025 16:00:05.937 UTC,1.37853,1.37839,0.00315,0.0012
02.09.2025 16:00:06.040 UTC,1.37853,1.3784,0.00135,0.0012
02.09.2025 16:00:06.195 UTC,1.37852,1.37841,0.0018,0.0012
02.09.2025 16:00:06.573 UTC,1.37853,1.37841,0.0024,0.0012
02.09.2025 16:00:06.626 UTC,1.37852,1.37839,0.0018,0.0012
02.09.2025 16:00:07.240 UTC,1.37853,1.37839,0.0018,0.0012
02.09.2025 16:00:07.747 UTC,1.37853,1.37839,0.00135,0.0012
02.09.2025 16:00:08.103 UTC,1.37853,1.37839,0.0018,0.0012
02.09.2025 16:00:08.558 UTC,1.37853,1.37842,0.0024,0.0012
02.09.2025 16:00:08.812 UTC,1.37854,1.3784,0.0033,0.0012
02.09.2025 16:00:08.914 UTC,1.37852,1.37841,0.0018,0.0012
02.09.2025 16:00:09.117 UTC,1.37853,1.3784,0.0018,0.0012
02.09.2025 16:00:09.571 UTC,1.37853,1.3784,0.0024,0.0012
02.09.2025 16:00:09.675 UTC,1.37854,1.3784,0.00465,0.0012
02.09.2025 16:00:10.082 UTC,1.37853,1.37841,0.0024,0.0012
02.09.2025 16:00:10.185 UTC,1.37853,1.37841,0.00135,0.0012
02.09.2025 16:00:11.852 UTC,1.37854,1.37843,0.0042,0.0012
02.09.2025 16:00:11.955 UTC,1.37855,1.37842,0.0042,0.0012
02.09.2025 16:00:12.108 UTC,1.37856,1.37842,0.00375,0.0012
02.09.2025 16:00:12.263 UTC,1.37854,1.37843,0.0033,0.0012
02.09.2025 16:00:13.016 UTC,1.37854,1.37843,0.00135,0.0012
02.09.2025 16:00:13.169 UTC,1.37854,1.37844,0.00135,0.0012
02.09.2025 16:00:13.271 UTC,1.37855,1.37843,0.0018,0.0012
02.09.2025 16:00:13.373 UTC,1.37854,1.37843,0.0018,0.0012
02.09.2025 16:00:13.476 UTC,1.37853,1.37842,0.0018,0.0012
