UTC,Ask,Bid,Ask Volume,Bid Volume
09.09.2025 17:00:00.004 UTC,1.3833,1.38321,0.00135,0.0012
09.09.2025 17:00:00.158 UTC,1.38331,1.38322,0.0012,0.0012
09.09.2025 17:00:00.263 UTC,1.38331,1.38323,0.00135,0.0012
09.09.2025 17:00:01.688 UTC,1.38331,1.38322,0.00135,0.0012
09.09.2025 17:00:01.791 UTC,1.38331,1.38323,0.00135,0.0012
09.09.2025 17:00:02.246 UTC,1.38332,1.38321,0.00135,0.0012
09.09.2025 17:00:02.349 UTC,1.38331,1.38323,0.00135,0.0012
09.09.2025 17:00:06.008 UTC,1.38332,1.38323,0.0012,0.0012
09.09.2025 17:00:08.622 UTC,1.38334,1.38323,0.00135,0.0012
09.09.2025 17:00:10.088 UTC,1.38334,1.38322,0.0018,0.0012
09.09.2025 17:00:11.756 UTC,1.38332,1.38322,0.0012,0.0012
09.09.2025 17:00:13.068 UTC,1.38331,1.38321,0.0012,0.0012
09.09.2025 17:00:16.644 UTC,1.38331,1.38322,0.00135,0.0012
09.09.2025 17:00:16.848 UTC,1.3833,1.38322,0.00135,0.0012
09.09.2025 17:00:17.002 UTC,1.3833,1.3832,0.0012,0.0012
09.09.2025 17:00:18.771 UTC,1.38329,1.38322,0.00135,0.0012
09.09.2025 17:00:19.930 UTC,1.3833,1.3832,0.0012,0.0012
09.09.2025 17:00:21.030 UTC,1.38329,1.38322,0.0012,0.0012
09.09.2025 17:00:21.438 UTC,1.3833,1.3832,0.00135,0.0012
09.09.2025 17:00:23.504 UTC,1.3833,1.38321,0.0012,0.0012
09.09.2025 17:00:24.364 UTC,1.38334,1.38325,0.00135,0.0012
09.09.2025 17:00:24.416 UTC,1.38337,1.38325,0.0012,0.0027
09.09.2025 17:00:24.520 UTC,1.38337,1.38326,0.0018,0.0012
09.09.2025 17:00:24.774 UTC,1.38338,1.38327,0.0018,0.0012
09.09.2025 17:00:40.108 UTC,1.38339,1.38328,0.0018,0.0012
09.09.2025 17:00:41.449 UTC,1.38339,1.38329,0.00195,0.0012
09.09.2025 17:00:43.867 UTC,1.38336,1.38329,0.0012,0.0012
09.09.2025 17:00:45.833 UTC,1.38337,1.38327,0.0012,0.0018
09.09.2025 17:00:56.331 UTC,1.38337,1.38327,0.00195,0.0012
09.09.2025 17:00:56.435 UTC,1.38335,1.38324,0.00135,0.0012
09.09.2025 17:00:56.589 UTC,1.38334,1.38324,0.0018,0.0012
09.09.2025 17:00:56.692 UTC,1.38334,1.38323,0.00285,0.0012
09.09.2025 17:00:56.895 UTC,1.38333,1.38323,0.0018,0.0012
09.09.2025 17:00:59.110 UTC,1.38333,1.38322,0.00285,0.0012
09.09.2025 17:00:59.818 UTC,1.38332,1.38322,0.0018,0.0012
09.09.2025 17:01:01.163 UTC,1.38332,1.38324,0.0012,0.0012
09.09.2025 17:01:02.775 UTC,1.38334,1.38324,0.00285,0.0012
09.09.2025 17:01:03.883 UTC,1.38334,1.38325,0.0018,0.0012
09.09.2025 17:01:03.985 UTC,1.38334,1.38325,0.00195,0.0012
09.09.2025 17:01:04.087 UTC,1.38335,1.38325,0.00195,0.0012
09.09.2025 17:01:04.241 UTC,1.38336,1.38328,0.00195,0.0012
09.09.2025 17:01:04.394 UTC,1.38337,1.38327,0.0018,0.0012
09.09.2025 17:01:04.497 UTC,1.38337,1.38326,0.0018,0.0018
09.09.2025 17:01:04.600 UTC,1.38336,1.38326,0.0018,0.0012
09.09.2025 17:01:04.702 UTC,1.38336,1.38325,0.0018,0.0018
09.09.2025 17:01:05.105 UTC,1.38336,1.38326,0.0018,0.0012
09.09.2025 17:01:06.266 UTC,1.38336,1.38324,0.00285,0.0018
