UTC,Ask,Bid,Ask Volume,Bid Volume
30.09.2025 15:00:00.086 UTC,1.39151,1.39141,0.00225,0.00132
30.09.2025 15:00:00.189 UTC,1.39151,1.39142,0.00135,0.0012
30.09.2025 15:00:01.053 UTC,1.39151,1.39141,0.0012,0.0012
30.09.2025 15:00:01.156 UTC,1.39151,1.3914,0.00135,0.00132
30.09.2025 15:00:01.862 UTC,1.39151,1.39139,0.0018,0.00176
30.09.2025 15:00:02.014 UTC,1.39151,1.39139,0.00135,0.00176
30.09.2025 15:00:03.159 UTC,1.3915,1.39139,0.0012,0.00176
30.09.2025 15:00:03.464 UTC,1.3915,1.39139,0.0018,0.00281
30.09.2025 15:00:05.086 UTC,1.39152,1.39139,0.00342,0.00176
30.09.2025 15:00:05.189 UTC,1.39152,1.39139,0.00237,0.00191
30.09.2025 15:00:05.444 UTC,1.39151,1.39138,0.0027,0.00191
30.09.2025 15:00:05.700 UTC,1.3915,1.39139,0.00315,0.00191
30.09.2025 15:00:06.209 UTC,1.39152,1.39138,0.0027,0.002
30.09.2025 15:00:06.312 UTC,1.39152,1.39138,0.0024,0.002
30.09.2025 15:00:06.465 UTC,1.39152,1.39138,0.00225,0.002
30.09.2025 15:00:06.619 UTC,1.39151,1.39138,0.0012,0.0029
30.09.2025 15:00:06.721 UTC,1.39152,1.39138,0.00225,0.002
30.09.2025 15:00:07.584 UTC,1.39151,1.39139,0.0024,0.002
30.09.2025 15:00:08.092 UTC,1.3915,1.39139,0.0012,0.00116
30.09.2025 15:00:08.195 UTC,1.39151,1.39138,0.00405,0.00191
30.09.2025 15:00:08.853 UTC,1.3915,1.39139,0.0012,0.00176
30.09.2025 15:00:09.158 UTC,1.3915,1.39139,0.00225,0.00176
30.09.2025 15:00:09.262 UTC,1.39151,1.39139,0.00237,0.0012
30.09.2025 15:00:09.365 UTC,1.39151,1.39138,0.00225,0.00176
30.09.2025 15:00:09.544 UTC,1.39149,1.3914,0.00135,0.00132
30.09.2025 15:00:09.646 UTC,1.39151,1.39138,0.00225,0.00236
30.09.2025 15:00:09.853 UTC,1.39151,1.39138,0.0024,0.00236
30.09.2025 15:00:10.106 UTC,1.39151,1.39138,0.00225,0.00281
30.09.2025 15:00:10.511 UTC,1.39151,1.39138,0.00225,0.00236
30.09.2025 15:00:11.119 UTC,1.39149,1.39139,0.0012,0.00116
30.09.2025 15:00:11.221 UTC,1.39152,1.39138,0.00522,0.00176
30.09.2025 15:00:11.427 UTC,1.39147,1.39135,0.0012,0.0012
30.09.2025 15:00:11.479 UTC,1.39145,1.3913,0.00522,0.002
30.09.2025 15:00:11.582 UTC,1.39144,1.39133,0.00423,0.0012
30.09.2025 15:00:11.684 UTC,1.39144,1.39134,0.00315,0.00176
30.09.2025 15:00:11.942 UTC,1.39146,1.39135,0.00156,0.0012
30.09.2025 15:00:12.044 UTC,1.39144,1.39134,0.00132,0.00176
30.09.2025 15:00:12.147 UTC,1.39143,1.39133,0.0012,0.00176
30.09.2025 15:00:12.250 UTC,1.39141,1.39131,0.0012,0.00176
30.09.2025 15:00:12.456 UTC,1.39142,1.3913,0.0012,0.00176
30.09.2025 15:00:12.959 UTC,1.39142,1.39129,0.00168,0.00176
30.09.2025 15:00:13.265 UTC,1.3914,1.3913,0.00192,0.00176
30.09.2025 15:00:13.368 UTC,1.39141,1.39128,0.00249,0.00281
30.09.2025 15:00:13.471 UTC,1.39141,1.39128,0.00339,0.00236
30.09.2025 15:00:15.098 UTC,1.39139,1.39128,0.0012,0.00176
30.09.2025 15:00:15.201 UTC,1.39139,1.39129,0.00144,0.00191
30.09.2025 15:00:15.306 UTC,1.39141,1.39128,0.00249,0.00281
30.09.2025 15:00:15.460 UTC,1.39141,1.39129,0.00144,0.00176
30.09.2025 15:00:16.327 UTC,1.3914,1.39129,0.0012,0.00236
30.09.2025 15:00:17.239 UTC,1.39142,1.39129,0.0018,0.00338
30.09.2025 15:00:17.343 UTC,1.39142,1.3913,0.0012,0.00176
30.09.2025 15:00:17.446 UTC,1.39141,1.3913,0.0012,0.0029
30.09.2025 15:00:17.752 UTC,1.39141,1.39129,0.00108,0.00236
30.09.2025 15:00:17.855 UTC,1.3914,1.3913,0.0012,0.00132
30.09.2025 15:00:17.957 UTC,1.39141,1.39129,0.0012,0.00236
30.09.2025 15:00:18.111 UTC,1.39141,1.39129,0.00132,0.00236
30.09.2025 15:00:18.214 UTC,1.39141,1.3913,0.00144,0.00176
30.09.2025 15:00:19.126 UTC,1.39143,1.3913,0.00414,0.00116
30.09.2025 15:00:19.228 UTC,1.39142,1.3913,0.00474,0.00248
30.09.2025 15:00:19.331 UTC,1.39143,1.39129,0.00192,0.00293
30.09.2025 15:00:19.936 UTC,1.39143,1.39129,0.00144,0.00293
30.09.2025 15:00:20.088 UTC,1.39141,1.3913,0.00147,0.00326
30.09.2025 15:00:20.191 UTC,1.39143,1.39129,0.00135,0.00281
30.09.2025 15:00:20.243 UTC,1.39143,1.39131,0.00351,0.00222
30.09.2025 15:00:20.346 UTC,1.39142,1.39132,0.00132,0.0012
